,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
328,0.7,16.587359127,0.05,7.08,0.95,16.925,0.48
329,0.7,11.6316130952,0.05,8.09,1.0,11.63,0.53
330,0.0,2.94368055556,0.1,3.51,0.5,2.085,0.27
331,0.0,-8.24305753968,0.1,2.16,0.55,-8.43,0.11
332,0.0,-3.00973214286,0.1,2.87,0.6,-3.165,0.19
333,0.0,0.41655952381,0.1,0.7,0.65,0.29,0.05
334,0.0,-2.99218055556,0.1,2.36,0.7,-2.95,0.19
335,0.0,-0.039244047619,0.1,0.76,0.75,0.12,0.05
336,0.0,-3.4229484127,0.1,0.82,0.8,-3.515,0.05
337,0.0,4.97821230159,0.1,0.42,0.85,4.875,0.05
338,0.0,-6.71219642857,0.1,2.72,0.9,-6.63,0.21
339,0.0,-4.39373015873,0.1,0.42,0.95,-4.41,0.04
340,0.0,-16.0630218254,0.1,0.62,1.0,-16.05,0.04
341,0.05,19.7015892857,0.1,11.42,0.5,20.46,0.87
342,0.05,21.3053968254,0.1,10.7,0.55,21.985,0.85
343,0.05,17.7251170635,0.1,10.97,0.6,18.435,0.78
344,0.05,19.280422619,0.1,11.14,0.65,20.045,0.85
345,0.05,18.7689642857,0.1,9.34,0.7,19.625,0.73
346,0.05,18.0466150794,0.1,10.61,0.75,19.05,0.79
347,0.05,11.8500059524,0.1,3.54,0.8,12.775,0.28
348,0.05,15.7280694444,0.1,7.92,0.85,16.21,0.56
349,0.05,13.8650853175,0.1,3.22,0.9,14.905,0.22
350,0.05,15.0654722222,0.1,6.86,0.95,15.93,0.53
351,0.05,11.583234127,0.1,4.29,1.0,12.045,0.32
352,0.1,19.9523849206,0.1,14.18,0.5,20.1,0.91
353,0.1,20.8254821429,0.1,13.32,0.55,21.46,0.9
354,0.1,20.1228293651,0.1,12.0,0.6,20.73,0.89
355,0.1,22.7173551587,0.1,4.93,0.65,23.33,0.35
356,0.1,18.82225,0.1,11.79,0.7,19.71,0.84
357,0.1,22.1885257937,0.1,9.93,0.75,22.435,0.71
358,0.1,17.8667063492,0.1,11.39,0.8,18.525,0.82
359,0.1,21.3507579365,0.1,9.17,0.85,21.445,0.69
